,City,Country,Lattitude,Longitude,Date,Temperature,Wind Speed,Cloud cover,Humidity
374,Bilma,NE,18.69,12.92,1604778643,72.55,10.02,0,26
375,Antofagasta,CL,-23.65,-70.4,1604778428,66.2,11.41,20,63
376,Jepara,ID,-5.17,105.7,1604778645,75.38,1.57,98,92
377,Kongolo,CD,-5.38,27.0,1604778647,70.75,2.86,7,95
378,Sabancuy,MX,18.97,-91.18,1604778648,82.0,11.01,32,75
379,Bandarbeyla,SO,9.49,50.81,1604778649,76.48,14.92,51,85
380,Esso,RU,55.93,158.7,1604778650,9.41,2.93,29,86
381,Coyhaique,CL,-45.58,-72.07,1604778652,68.0,5.82,0,34
382,Conceição do Araguaia,BR,-8.26,-49.26,1604778653,84.83,1.36,94,70
383,Najrān,SA,17.49,44.13,1604778655,69.8,1.83,0,26
384,Iwanai,JP,42.97,140.51,1604778656,44.65,5.86,56,73
385,Launceston,AU,-41.45,147.17,1604778657,46.99,3.36,90,81
386,Monrovia,LR,6.3,-10.8,1604778659,80.6,7.85,20,88
387,Ushtobe,KZ,45.25,77.98,1604778660,46.26,5.53,100,43
388,Malinovoye Ozero,RU,51.68,79.78,1604778661,43.74,14.12,49,58
389,Rocha,UY,-34.48,-54.33,1604778663,68.54,10.45,36,71
390,Gijang,KR,35.24,129.21,1604778664,48.2,2.24,0,57
391,Maragogi,BR,-9.01,-35.22,1604778665,78.67,12.71,26,81
392,Saint-Pierre,RE,-21.34,55.48,1604778667,73.4,11.41,0,78
393,Praia,CV,14.92,-23.51,1604778668,80.6,12.75,0,69
394,Rawson,AR,-43.3,-65.1,1604778670,68.5,23.55,99,35
395,Sunrise Manor,US,36.21,-115.07,1604778671,63.0,24.16,75,20
396,Fairview,US,40.81,-74.0,1604778672,77.0,3.36,1,33
397,Kralendijk,BQ,12.15,-68.27,1604778674,87.8,12.75,0,70
398,Phan Thiet,VN,10.93,108.1,1604778675,74.77,2.77,95,90
399,Qasigiannguit,GL,68.82,-51.19,1604778575,8.6,5.82,20,71
400,Khandyga,RU,62.67,135.6,1604778678,-8.43,0.45,100,89
401,Olafsvik,IS,64.89,-23.71,1604778679,40.95,27.58,92,69
402,Samaná,DO,19.21,-69.34,1604778680,87.8,6.93,40,70
403,Beringovskiy,RU,63.05,179.32,1604778571,28.04,6.15,17,87
404,Honningsvåg,NO,70.98,25.97,1604778683,40.08,28.97,98,76
405,Atambua,ID,-9.11,124.89,1604778684,74.77,2.28,99,65
406,Bambanglipuro,ID,-7.95,110.28,1604778685,78.03,1.36,58,80
407,Kletskaya,RU,49.31,43.06,1604778686,39.99,5.01,21,90
408,Soller,ES,39.77,2.72,1604778688,64.0,5.82,0,93
409,Sampit,ID,-2.53,112.95,1604778689,75.0,1.45,89,96
410,Sar-e Pul,AF,35.83,66.17,1604778690,51.49,6.8,0,35
411,Araguaína,BR,-7.19,-48.21,1604778566,86.32,3.87,75,61
412,Bontang,ID,0.13,117.5,1604778693,77.02,5.95,100,87
413,Buseresere,TZ,-3.02,31.87,1604778694,68.79,4.38,82,82
414,Payson,US,40.04,-111.73,1604778695,64.4,19.46,75,34
415,Polunochnoye,RU,60.87,60.42,1604778697,28.92,4.45,48,97
416,Xining,CN,36.62,101.77,1604778698,31.57,1.99,0,81
417,Yumen,CN,40.28,97.2,1604778699,28.06,1.74,39,84
418,Biharia,RO,47.15,21.92,1604778700,41.0,5.82,0,100
419,Arrondissement de Narbonne,FR,43.08,2.83,1604778702,63.0,4.0,100,71
420,Narnaul,IN,28.04,76.11,1604778703,68.07,3.09,0,23
421,Nakanojōmachi,JP,36.58,138.85,1604778704,61.0,6.38,31,69
422,East London,ZA,-33.02,27.91,1604778662,69.8,13.4,0,82
423,Luganville,VU,-15.53,167.17,1604778707,80.6,1.12,40,88
424,Porbandar,IN,21.64,69.61,1604778708,78.46,1.1,0,47
425,Montepuez,MZ,-13.13,39.0,1604778564,75.06,9.33,26,64
426,Morondava,MG,-20.28,44.28,1604778711,80.2,6.44,52,78
427,Havøysund,NO,71.0,24.66,1604778712,33.8,55.25,100,92
428,Aginskoye,RU,51.1,114.53,1604778713,10.65,7.49,18,91
429,Walvis Bay,NA,-22.96,14.51,1604778715,62.6,8.05,0,77
430,Boyolangu,ID,-8.12,111.89,1604778716,74.95,1.86,0,83
431,Nassau,US,40.75,-73.58,1604778717,75.0,8.05,1,40
432,Burgeo,CA,47.62,-57.62,1604778719,40.39,21.18,15,70
433,Sassandra,CI,4.95,-6.08,1604778720,78.12,4.18,99,87
434,Finnsnes,NO,69.23,17.98,1604778722,33.8,26.4,100,86
435,Mount Gambier,AU,-37.83,140.77,1604778723,41.0,6.93,0,86
436,Riverton,US,40.52,-111.94,1604778724,68.0,16.11,90,42
437,Fukuechō,JP,32.69,128.84,1604778726,65.91,21.32,12,52
438,Fortuna,US,40.6,-124.16,1604778727,55.99,16.11,20,58
439,Tual,ID,-5.67,132.75,1604778728,82.78,11.32,87,70
440,Sawākin,SD,19.11,37.33,1604778729,82.99,5.88,27,70
441,Margate,GB,51.38,1.39,1604778731,54.0,1.99,47,90
442,Jaisalmer,IN,26.91,70.92,1604778733,71.35,3.58,0,26
443,Tessalit,ML,20.2,1.01,1604778735,77.22,11.92,100,18
444,Evensk,RU,61.95,159.23,1604778736,12.42,9.8,93,89
445,Whitianga,NZ,-36.83,175.7,1604778737,66.0,7.0,68,86
446,Kisangani,CD,0.52,25.2,1604778738,70.63,1.63,82,94
447,Thabazimbi,ZA,-24.59,27.41,1604778740,84.74,4.79,0,23
448,Evanston,US,42.04,-87.69,1604778632,73.0,14.99,20,43
449,Zapotlanejo,MX,20.63,-103.07,1604778742,80.01,6.93,5,33
450,Provideniya,RU,64.38,-173.3,1604778743,28.54,6.98,17,94
451,Sovetskiy,RU,61.36,63.58,1604778745,30.94,4.14,70,99
452,Cherskiy,RU,68.75,161.3,1604778746,5.49,6.08,100,95
453,Sablé-sur-Sarthe,FR,47.84,-0.33,1604778747,61.0,6.93,100,72
454,‘Ewa Beach,US,21.32,-158.01,1604778749,82.4,8.05,20,69
455,Anloga,GH,5.79,0.9,1604778750,80.6,3.36,20,78
456,Keetmanshoop,NA,-26.58,18.13,1604778751,68.34,16.4,0,46
457,Jhalidā,IN,23.37,85.97,1604778753,62.51,4.65,0,51
458,Kaeo,NZ,-35.1,173.78,1604778754,64.99,8.01,47,84
459,Madang,PG,-5.22,145.8,1604778755,75.97,3.02,94,85
460,Byron Bay,AU,-28.65,153.62,1604778757,62.6,4.7,90,88
461,Sur,OM,22.57,59.53,1604778758,75.4,7.11,0,77
462,Kendari,ID,-3.94,122.5,1604778759,74.07,2.26,100,87
463,Nanortalik,GL,60.14,-45.24,1604778760,32.43,7.02,100,90
464,Lucapa,AO,-8.42,20.74,1604778761,68.02,4.14,100,97
465,Martapura,ID,-3.42,114.85,1604778763,74.62,1.77,6,94
466,Isangel,VU,-19.55,169.27,1604778764,79.36,7.67,0,75
467,Diego de Almagro,CL,-26.37,-70.05,1604778765,79.52,12.01,0,20
468,Lufilufi,WS,-13.87,-171.6,1604778767,82.4,4.7,75,83
469,Nantucket,US,41.28,-70.1,1604778556,66.2,12.75,1,63
470,Hastings,GB,50.86,0.57,1604778769,55.4,9.17,20,93
471,Nemuro,JP,43.32,145.57,1604778770,51.67,2.93,74,75
472,Colac,AU,-38.33,143.58,1604778772,46.0,4.54,0,86
473,Djambala,CG,-2.54,14.75,1604778773,69.33,1.74,18,93
474,São Filipe,CV,14.9,-24.5,1604778597,79.2,13.76,33,78
475,Baringo,KE,0.47,35.97,1604778775,74.48,2.28,100,62
476,Jalingo,NG,8.88,11.37,1604778777,80.2,2.35,100,32
477,Arrondissement de Millau,FR,44.08,2.92,1604778778,63.0,21.92,100,82
478,Sibolga,ID,1.74,98.78,1604778779,77.09,4.47,100,81
479,Port Hardy,CA,50.7,-127.42,1604778781,44.6,14.99,20,65
480,Nouakchott,MR,18.09,-15.98,1604778742,82.4,17.22,0,54
481,Salou,ES,41.08,1.14,1604778783,61.0,4.7,20,93
482,Esim,GH,4.87,-2.24,1604778785,78.71,7.36,58,86
483,Clarksville,US,36.53,-87.36,1604778624,77.0,6.93,1,53
484,Ambon City,ID,-3.7,128.18,1604778787,75.99,9.95,84,16
485,Leningradskiy,RU,69.38,178.42,1604778788,20.08,12.48,100,96
486,Narang Mandi,PK,31.91,74.52,1604778790,64.4,1.16,0,82
487,Mama,RU,58.31,112.9,1604778791,2.75,4.34,100,87
488,Monsenhor Gil,BR,-5.56,-42.61,1604778760,93.2,2.24,20,49
489,Saint Anthony,US,45.02,-93.22,1604778785,72.0,17.22,1,56
490,Comodoro Rivadavia,AR,-45.87,-67.5,1604778795,66.2,14.99,0,48
491,Verkhnyaya Sinyachikha,RU,57.98,61.67,1604778796,35.98,4.63,97,93
492,Corinth,GR,37.94,22.96,1604778731,61.0,10.16,90,48
493,Assomada,CV,15.1,-23.68,1604778798,80.6,12.75,0,69
494,Kalmunai,LK,7.42,81.82,1604778800,79.07,2.66,24,83
495,Mayumba,GA,-3.43,10.66,1604778801,78.03,7.87,95,90
496,Nola,IT,40.92,14.53,1604778802,59.0,2.24,0,72
497,Wakema,MM,16.6,95.18,1604778803,75.45,6.24,0,91
498,Noumea,NC,-22.28,166.46,1604778805,79.0,1.12,97,83
499,Poum,NC,-20.23,164.02,1604778806,76.53,13.33,2,73
500,Cassilândia,BR,-19.11,-51.73,1604778807,96.31,0.54,3,19
501,Puli,TW,23.97,120.97,1604778809,73.0,21.92,90,93
502,Mālūr,IN,13.01,77.94,1604778810,69.8,2.24,75,100
503,Lagos,NG,6.58,3.75,1604778734,78.8,4.7,20,83
504,Sosenskiy,RU,54.06,35.96,1604778812,41.0,2.24,0,86
505,Gorontalo,ID,0.54,123.06,1604778814,75.76,2.8,100,82
506,Sidi Ali,DZ,36.1,0.42,1604778815,64.63,3.36,0,70
507,Vardø,NO,70.37,31.11,1604778816,39.45,35.79,99,75
508,Mandan,US,46.83,-100.89,1604778817,35.6,9.17,90,100
509,Palmer,US,42.16,-72.33,1604778819,77.0,6.93,40,31
510,Kargasok,RU,59.06,80.86,1604778611,35.62,11.79,100,84
511,Vila Velha,BR,-20.33,-40.29,1604778821,79.0,10.29,75,78
512,Altamira,BR,-3.2,-52.21,1604778822,91.4,8.05,40,52
513,Batagay-Alyta,RU,67.8,130.41,1604778824,-12.62,0.78,69,80
514,Kelo,TD,9.31,15.81,1604778825,78.62,4.0,98,31
515,St. Pete Beach,US,27.73,-82.74,1604778595,84.0,4.0,100,1
516,Katrineholm,SE,59.0,16.21,1604778827,51.8,9.17,90,76
517,Boa Vista,BR,2.82,-60.67,1604778829,82.4,11.41,75,78
518,Verkhoyansk,RU,67.54,133.38,1604778830,-26.45,0.98,9,83
519,Emerald,AU,-23.53,148.17,1604778831,69.8,10.29,90,88
520,Lavrentiya,RU,65.58,-171.0,1604778557,28.54,11.03,68,96
521,Charters Towers,AU,-20.1,146.27,1604778585,71.31,12.12,2,83
522,Córdoba,AR,-31.41,-64.18,1604778669,90.0,10.29,0,28
523,Agüimes,ES,27.91,-15.45,1604778836,71.6,3.24,75,73
524,Ollioules,FR,43.14,5.85,1604778837,60.01,13.0,100,88
525,Xuzhou,CN,34.18,117.16,1604778838,53.06,4.14,0,39
526,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,1604778840,21.2,8.95,44,79
527,Hastière,BE,50.22,4.82,1604778841,51.8,4.7,86,81
528,Gao,ML,16.64,1.64,1604778843,80.58,12.62,0,15
529,Prince Rupert,CA,54.32,-130.32,1604778844,39.2,8.05,1,74
530,Namatanai,PG,-3.67,152.43,1604778845,79.72,5.1,76,76
531,Peniche,PT,39.36,-9.38,1604778846,62.01,8.99,16,88
532,Okhotsk,RU,59.38,143.3,1604778847,10.71,14.5,97,89
533,Meulaboh,ID,4.14,96.13,1604778849,76.44,4.0,100,86
534,Requena,ES,39.49,-1.1,1604778850,53.01,6.69,0,81
535,Maniitsoq,GL,65.42,-52.9,1604778851,21.76,14.65,100,87
536,Bull Savanna,JM,17.89,-77.59,1604778853,75.83,14.0,100,90
537,Chicama,PE,-7.84,-79.15,1604778854,68.0,9.17,21,72
538,Junqueiro,BR,-9.93,-36.48,1604778855,79.11,13.44,17,76
